CVE-2011-3374,"[('LOW', 'debian')]"
TEMP-0841856-B18BAF,"[('LOW', 'debian')]"
CVE-2017-13716,"[('LOW', 'debian'), ('LOW', 'redhat'), ('MEDIUM', 'photon'), ('LOW', 'ubuntu')]"
CVE-2018-18483,"[('LOW', 'debian'), ('LOW', 'redhat'), ('LOW', 'ubuntu')]"
CVE-2018-20673,"[('LOW', 'debian'), ('LOW', 'redhat'), ('MEDIUM', 'redhat')]"
CVE-2018-20712,"[('LOW', 'debian')]"
CVE-2018-9996,"[('LOW', 'debian')]"
CVE-2021-32256,"[('LOW', 'debian'), ('LOW', 'amazon')]"
CVE-2023-1972,"[('LOW', 'debian'), ('LOW', 'redhat'), ('LOW', 'ubuntu'), ('MEDIUM', 'nvd')]"
CVE-2022-0563,"[('MEDIUM', 'redhat'), ('MEDIUM', 'amazon'), ('MEDIUM', 'nvd'), ('LOW', 'debian'), ('MEDIUM', 'photon')]"
CVE-2016-2781,"[('LOW', 'debian'), ('MEDIUM', 'redhat'), ('LOW', 'ubuntu')]"
CVE-2017-18018,"[('LOW', 'debian'), ('MEDIUM', 'redhat')]"
CVE-2023-4039,"[('LOW', 'oracle-oval'), ('MEDIUM', 'redhat'), ('MEDIUM', 'amazon'), ('MEDIUM', 'nvd')]"
CVE-2022-27943,"[('LOW', 'debian'), ('LOW', 'redhat'), ('LOW', 'ubuntu')]"
CVE-2022-3219,"[('LOW', 'debian'), ('LOW', 'redhat'), ('LOW', 'ubuntu')]"
CVE-2018-5709,"[('LOW', 'debian'), ('HIGH', 'nvd')]"
CVE-2023-39616,"[('HIGH', 'nvd')]"
CVE-2010-4756,"[('LOW', 'debian'), ('LOW', 'redhat')]"
CVE-2018-20796,"[('LOW', 'debian')]"
CVE-2019-1010022,"[('LOW', 'debian')]"
CVE-2019-1010023,"[('LOW', 'debian'), ('LOW', 'redhat')]"
CVE-2019-1010024,"[('LOW', 'debian')]"
CVE-2019-1010025,"[('LOW', 'debian')]"
CVE-2019-9192,"[('LOW', 'debian')]"
CVE-2023-32570,"[('MEDIUM', 'nvd')]"
CVE-2023-27103,"[('HIGH', 'nvd')]"
CVE-2023-27102,"[('MEDIUM', 'nvd')]"
CVE-2018-6829,"[('LOW', 'debian')]"
CVE-2011-3389,"[('LOW', 'debian'), ('MEDIUM', 'redhat')]"
CVE-2023-29659,"[('MEDIUM', 'nvd')]"
CVE-2020-36325,"[('LOW', 'debian')]"
CVE-2017-9937,"[('LOW', 'debian'), ('LOW', 'redhat'), ('LOW', 'ubuntu')]"
CVE-2023-2953,"[('MEDIUM', 'amazon'), ('HIGH', 'photon'), ('HIGH', 'nvd'), ('LOW', 'ubuntu'), ('LOW', 'redhat')]"
CVE-2015-3276,"[('LOW', 'debian'), ('MEDIUM', 'redhat')]"
CVE-2017-14159,"[('LOW', 'debian'), ('MEDIUM', 'nvd')]"
CVE-2017-17740,"[('LOW', 'debian'), ('HIGH', 'nvd')]"
CVE-2020-15719,"[('LOW', 'debian'), ('LOW', 'redhat')]"
CVE-2023-44487,"[('MEDIUM', 'ghsa'), ('HIGH', 'redhat'), ('HIGH', 'amazon'), ('HIGH', 'alma'), ('MEDIUM', 'alma'), ('HIGH', 'nvd'), ('LOW', 'debian'), ('HIGH', 'bitnami'), ('MEDIUM', 'oracle-oval'), ('HIGH', 'oracle-oval'), ('MEDIUM', 'ubuntu')]"
CVE-2023-31484,"[('MEDIUM', 'redhat'), ('HIGH', 'amazon'), ('MEDIUM', 'alma'), ('HIGH', 'nvd'), ('MEDIUM', 'oracle-oval'), ('MEDIUM', 'ubuntu')]"
CVE-2011-4116,"[('LOW', 'debian'), ('LOW', 'redhat')]"
CVE-2023-31486,"[('MEDIUM', 'redhat'), ('HIGH', 'amazon'), ('MEDIUM', 'alma'), ('HIGH', 'photon'), ('LOW', 'debian'), ('HIGH', 'nvd'), ('MEDIUM', 'oracle-oval')]"
CVE-2021-4214,"[('LOW', 'debian')]"
CVE-2023-24329,"[('HIGH', 'redhat'), ('MEDIUM', 'amazon'), ('HIGH', 'alma'), ('HIGH', 'rocky'), ('HIGH', 'photon'), ('HIGH', 'nvd'), ('HIGH', 'oracle-oval'), ('MEDIUM', 'ubuntu')]"
CVE-2023-41105,"[('MEDIUM', 'oracle-oval'), ('HIGH', 'nvd'), ('MEDIUM', 'ubuntu'), ('MEDIUM', 'alma')]"
CVE-2023-27043,"[('MEDIUM', 'redhat'), ('MEDIUM', 'nvd'), ('MEDIUM', 'bitnami'), ('MEDIUM', 'photon'), ('MEDIUM', 'ubuntu')]"
CVE-2023-40217,"[('HIGH', 'redhat'), ('HIGH', 'amazon'), ('HIGH', 'alma'), ('MEDIUM', 'nvd'), ('MEDIUM', 'photon'), ('HIGH', 'oracle-oval'), ('MEDIUM', 'ubuntu')]"
CVE-2023-24535,"[('LOW', 'debian')]"
CVE-2021-45346,"[('LOW', 'debian'), ('LOW', 'redhat')]"
